Date,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Grand_Total_Inflow
01-06-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,1.444444444,2,0,6.555555556,0.222222222,5970
02-06-1992,1.111111111,0.111111111,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777777778,0.111111111,1.444444444,0.111111111,0,0,0,11.55555556,18.11111111,11.66666667,0.222222222,3,4.777777778,0.222222222,4.666666667,0.666666667,5980
03-06-1992,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0,2.777777778,0,0,0,0,0,0,3.555555556,0.222222222,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5950
04-06-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,3.444444444,3.666666667,1.333333333,0.111111111,6.111111111,2.222222222,5900
05-06-1992,0,0,0,0,0,0,0,0.111111111,0,0,0.111111111,0.222222222,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.222222222,0,0,0,1.888888889,1.333333333,0.777777778,0.333333333,0.111111111,5950
06-06-1992,0,0,0.222222222,0,0.111111111,0,0,0.666666667,0,0,0.222222222,0,0,0,0.111111111,0.555555556,1.222222222,1.444444444,0,0,0,0,1.111111111,0.555555556,0.555555556,0,0,0,0.333333333,0.555555556,0,0,0,0,0,0.111111111,0.222222222,0,0,0,0,0,0,0,0.111111111,0.222222222,0.888888889,0.111111111,1.333333333,5950
07-06-1992,0,1.777777778,0.222222222,0.222222222,0,1.333333333,1,5.333333333,0,0.555555556,1.666666667,2.444444444,0.555555556,0,0,0.555555556,1.444444444,2.666666667,0,0,0,0.444444444,1.111111111,1.777777778,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333,0,0,0.888888889,5930
08-06-1992,0,0,0,0,0,0.444444444,0.333333333,4.111111111,0.333333333,0,1.555555556,0,0,3.777777778,0.333333333,1,0,2.777777778,2,0.444444444,0.777777778,0,0.666666667,0.777777778,0.777777778,1.222222222,4.888888889,1.111111111,0.777777778,1,0,0.111111111,0.222222222,0,0,0.222222222,0.555555556,0,0,0,0,0,0,0.111111111,3.222222222,6.222222222,2.222222222,4.333333333,3,5885
09-06-1992,0,0,0,0.555555556,0.333333333,0.888888889,0,7.888888889,1.222222222,2.111111111,0.333333333,0.888888889,0,0,0,0,0.444444444,0.444444444,0,0,1,1,12.22222222,0.333333333,0,0.222222222,2.111111111,2.222222222,0.555555556,0,0.333333333,0.111111111,0.666666667,0,8,16.44444444,12.66666667,0.222222222,0,0,0,2.333333333,2.111111111,16.44444444,0,2.888888889,0.333333333,0,1.888888889,4480
10-06-1992,0,1.555555556,1.222222222,0.222222222,2.222222222,1,0,10.44444444,5.111111111,0.111111111,11.44444444,5.666666667,0.333333333,0,43.11111111,15.66666667,6.888888889,2.777777778,1.111111111,0.111111111,0.888888889,30.77777778,7.444444444,0.555555556,0.666666667,2,0.777777778,2.222222222,5.888888889,1.333333333,1,1.333333333,0,1.555555556,13.44444444,9.222222222,3.555555556,0,0,1,0.444444444,5,17.11111111,2.111111111,1,20.88888889,19.88888889,3.111111111,2.888888889,4500
